id,name_de,name_en,name_botanical,category_primary,category_secondary,tags,plant_family,water_needs,light_needs,soil_type,ph_min,ph_max,height_min_cm,height_max_cm,spacing_cm,container_suitable,indoor_suitable,difficulty_level,sowing_months,sowing_method,planting_months,harvest_months,perennial,days_to_germination_min,days_to_germination_max,days_to_harvest_min,days_to_harvest_max,good_neighbors,bad_neighbors,companion_score,watering_instructions,fertilizing_instructions,pruning_instructions,pest_control,special_care
tomato_01,Tomate,Tomato,Solanum lycopersicum,fruit_vegetables,nightshade,"beginner_friendly,container_suitable,balcony_favorite",Solanaceae,medium,full_sun,loamy,6.0,7.0,60,200,50,TRUE,FALSE,3,"2,3,4",indoor,"5,6","7,8,9,10",FALSE,6,14,60,100,"basil_01,carrot_01,onion_01,parsley_01,spinach_01","potato_01,fennel_01,cabbage_01,beetroot_01,cucumber_01",8,"Regelmäßig gießen, aber Staunässe vermeiden. Besonders in Trockenperioden auf gleichmäßige Feuchtigkeit achten.","Alle 2-3 Wochen mit Tomatendünger versorgen, beginnend wenn die ersten Früchte ansetzen.","Regelmäßig ausgeizen (Seitentriebe entfernen) und bei Bedarf aufbinden.","Auf Blattläuse und Weiße Fliege achten. Vorbeugend mit Brennnesseljauche behandeln.","Eine Mulchschicht aus Stroh oder Grasschnitt hält den Boden feucht und verhindert, dass Erde auf die unteren Blätter spritzt."
basil_01,Basilikum,Basil,Ocimum basilicum,herbs,annual_herbs,"beginner_friendly,container_suitable,kitchen_herb,mediterranean",Lamiaceae,medium,full_sun,well-draining,6.0,7.5,20,60,20,TRUE,TRUE,2,"3,4,5",indoor,"5,6","6,7,8,9",FALSE,5,10,30,60,"tomato_01,pepper_01,parsley_01",rue_01,8,"Regelmäßig gießen, aber Staunässe vermeiden. Basilikum mag es feucht, aber nicht nass.","Sparsam düngen, alle 4-6 Wochen mit Kräuterdünger.","Regelmäßig ernten, um buschiges Wachstum zu fördern. Blütenstände entfernen.","Auf Blattläuse und Spinnmilben achten. Bei Befall mit Seifenlauge behandeln.","Vor Kälte und Zugluft schützen. Basilikum ist sehr kälteempfindlich."
carrot_01,Karotte,Carrot,Daucus carota subsp. sativus,root_vegetables,umbellifers,"beginner_friendly,container_suitable,children_friendly",Apiaceae,medium,full_sun,sandy_loam,6.0,7.0,20,40,5,TRUE,FALSE,3,"3,4,5,6,7",outdoor,"","5,6,7,8,9,10,11",FALSE,7,21,60,80,"onion_01,leek_01,tomato_01,pea_01,bean_01,lettuce_01,radish_01,cabbage_01,dill_01,garlic_01","mint_01,spinach_01",7,"Gleichmäßig feucht halten, besonders während der Keimung. Später mäßig gießen, um Rissbildung zu vermeiden.","Mäßig düngen. Zu viel Stickstoff führt zu üppigem Blattwuchs auf Kosten der Wurzel.","Bei Bedarf ausdünnen, um ausreichend Platz für die Wurzelentwicklung zu gewährleisten.","Auf Möhrenfliege achten. Durch Kulturschutznetze oder Mischkultur mit Zwiebeln und Lauch vorbeugen.","Boden vor der Aussaat tief lockern und von Steinen befreien. Karotten mögen keine frische Düngung."
cucumber_01,Gurke,Cucumber,Cucumis sativus,fruit_vegetables,cucurbits,"summer_vegetable,container_suitable,trellis_growing",Cucurbitaceae,high,full_sun,rich_loamy,6.0,7.0,30,200,40,TRUE,FALSE,4,"4,5",indoor,"5,6","7,8,9",FALSE,3,10,50,70,"bean_01,pea_01,celery_01,dill_01,cabbage_01,lettuce_01,onion_01,leek_01","potato_01,tomato_01",6,"Regelmäßig und reichlich gießen, besonders während Trockenperioden. Staunässe vermeiden.","Vor der Pflanzung gut mit Kompost versorgen. Während der Wachstumsphase alle 2-3 Wochen mit organischem Dünger nachdüngen.","Haupttrieb über das dritte Blatt hinaus kappen, um Verzweigung zu fördern. Rankhilfe anbieten.","Auf Mehltau und Gurkenkäfer achten. Vorbeugend mit Schachtelhalmbrühe spritzen.","Gurken mögen warme, geschützte Standorte. Bei Freilandanbau eventuell Vlies zur Wärmespeicherung verwenden."
zucchini_01,Zucchini,Zucchini,Cucurbita pepo var. cylindrica,fruit_vegetables,cucurbits,"beginner_friendly,high_yield,summer_vegetable",Cucurbitaceae,high,full_sun,rich_loamy,6.0,7.5,40,100,80,TRUE,FALSE,2,"4,5",indoor,"5,6","7,8,9,10",FALSE,5,10,40,60,"bean_01,pea_01,lettuce_01,sugar_pea_01","potato_01,carrot_01",6,"Regelmäßig und reichlich gießen, besonders während der Fruchtbildung. Staunässe vermeiden.","Vor der Pflanzung gut mit Kompost versorgen. Während der Wachstumsphase alle 3-4 Wochen mit organischem Dünger nachdüngen.","Bei Platzmangel können überzählige Seitentriebe entfernt werden. Alte oder kranke Blätter regelmäßig entfernen.","Auf Mehltau und Blattläuse achten. Vorbeugend mit Schachtelhalmbrühe spritzen.","Früchte regelmäßig ernten, auch kleine, um weitere Fruchtbildung anzuregen."
lettuce_01,Salat,Lettuce,Lactuca sativa,leafy_vegetables,salad_greens,"beginner_friendly,container_suitable,quick_harvest",Asteraceae,medium,partial_shade,loamy,6.0,7.0,15,30,25,TRUE,TRUE,1,"3,4,5,6,7,8",both,"4,5,6,7,8,9","5,6,7,8,9,10",FALSE,2,8,30,60,"carrot_01,radish_01,cucumber_01,strawberry_01,onion_01,bean_01","parsley_01,celery_01",7,"Regelmäßig gießen, um den Boden gleichmäßig feucht zu halten. Besonders bei Hitze auf ausreichende Bewässerung achten.","Leicht düngen vor der Pflanzung. Zu viel Stickstoff kann zu Nitratanreicherung führen.","Äußere Blätter bei Bedarf entfernen. Bei Schossbildung ganze Pflanze ernten.","Auf Schnecken und Blattläuse achten. Schneckenkorn oder Bierfallen gegen Schnecken einsetzen.","Bei Hitze für Schatten sorgen, um Schossen zu vermeiden. Mulchen hilft, den Boden feucht zu halten."
spinach_01,Spinat,Spinach,Spinacia oleracea,leafy_vegetables,salad_greens,"beginner_friendly,container_suitable,cool_season",Amaranthaceae,medium,partial_shade,loamy,6.0,7.0,15,30,10,TRUE,TRUE,1,"2,3,4,8,9",outdoor,"","4,5,6,10,11",FALSE,5,10,30,50,"pea_01,bean_01,cabbage_01,strawberry_01,radish_01","potato_01,tomato_01,beetroot_01,carrot_01",6,"Gleichmäßig feucht halten, besonders während der Keimung und bei Trockenheit.","Mäßig düngen. Zu viel Stickstoff kann zu Nitratanreicherung führen.","Äußere Blätter ernten, um weiteres Wachstum zu fördern. Bei Schossbildung ganze Pflanze ernten.","Auf Blattläuse und Minierfliegen achten. Kulturschutznetze können helfen.","Spinat bevorzugt kühle Temperaturen. Im Sommer an schattigen Standorten anbauen oder durch hitzebeständigere Alternativen ersetzen."
radish_01,Radieschen,Radish,Raphanus sativus,root_vegetables,brassicas,"beginner_friendly,container_suitable,quick_harvest",Brassicaceae,medium,full_sun,sandy_loam,6.0,7.0,10,15,5,TRUE,TRUE,1,"3,4,5,6,7,8",outdoor,"","4,5,6,7,8,9",FALSE,3,7,20,30,"lettuce_01,spinach_01,carrot_01,cucumber_01,pea_01","hyssop_01",8,"Gleichmäßig feucht halten, aber nicht überwässern. Trockenphasen führen zu scharfem Geschmack und holziger Textur.","Sparsam düngen. Zu viel Stickstoff führt zu üppigem Blattwuchs auf Kosten der Knolle.","Nicht erforderlich. Bei zu dichtem Stand ausdünnen.","Auf Erdflöhe achten. Kulturschutznetze oder Vlies können helfen.","Schnell wachsend, daher regelmäßig kleine Mengen aussäen für kontinuierliche Ernte. Bei Hitze schnell schossend."
bean_01,Buschbohne,Bush Bean,Phaseolus vulgaris,legumes,nitrogen_fixers,"beginner_friendly,container_suitable,protein_rich",Fabaceae,medium,full_sun,loamy,6.0,7.5,30,50,10,TRUE,FALSE,2,"5,6,7",outdoor,"","7,8,9,10",FALSE,5,10,50,70,"potato_01,cucumber_01,carrot_01,cabbage_01,strawberry_01,radish_01,corn_01","onion_01,garlic_01,leek_01,fennel_01",7,"Regelmäßig gießen, besonders während der Blüte und Fruchtbildung. Staunässe vermeiden.","Kaum Düngung nötig, da Bohnen selbst Stickstoff fixieren. Zu viel Stickstoff führt zu üppigem Blattwuchs auf Kosten der Hülsenbildung.","Nicht erforderlich. Regelmäßig ernten fördert Neubildung.","Auf Schwarze Bohnenläuse und Spinnmilben achten. Bei Befall mit Seifenlauge behandeln.","Nicht bei Nässe ernten oder bearbeiten, um Krankheiten zu vermeiden. Bohnen mögen warme Böden, daher nicht zu früh aussäen."
pea_01,Erbse,Pea,Pisum sativum,legumes,nitrogen_fixers,"beginner_friendly,container_suitable,cool_season",Fabaceae,medium,full_sun,loamy,6.0,7.5,60,180,5,TRUE,FALSE,2,"3,4,5",outdoor,"","6,7,8",FALSE,6,14,60,80,"carrot_01,radish_01,cucumber_01,bean_01,lettuce_01,spinach_01,corn_01","onion_01,garlic_01,leek_01,potato_01",7,"Mäßig gießen. Zu viel Wasser kann zu Pilzkrankheiten führen. Während der Blüte und Hülsenbildung auf gleichmäßige Feuchtigkeit achten.","Kaum Düngung nötig, da Erbsen selbst Stickstoff fixieren. Zu viel Stickstoff führt zu üppigem Blattwuchs auf Kosten der Hülsenbildung.","Rankhilfe für hohe Sorten anbieten. Spitze bei Bedarf kappen, um buschigeres Wachstum zu fördern.","Auf Blattläuse und Erbsenwickler achten. Kulturschutznetze können helfen.","Erbsen bevorzugen kühle Temperaturen. Im Frühling oder Herbst anbauen. Regelmäßig ernten fördert Neubildung."
